"","Exp","Dist","Dia","Turno","Long","Lat","TipVeh","Sexo","Edad","TipPer","Vict","gravedad","TipAcc"
"779","2018S000637    ","Les Corts","Dimecres","Matí",2.138764,41.385319,"Cotxe","Home",81,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"789","2018S000644    ","Sant Martí","Dimecres","Tarda",2.202878,41.408369,"Motocicleta","Home",26,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"838","2018S000689    ","Sarrià-Sant Gervasi","Divendres","Matí",2.138729,41.398584,"Motocicleta","Dona",57,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"945","2018S000773    ","Eixample","Dilluns","Matí",2.170988,41.391485,"Furgoneta","Home",29,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"946","2018S000774    ","Eixample","Dilluns","Matí",2.176807,41.393927,"Autobús","Home",79,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"981","2018S000806    ","Eixample","Dimarts","Tarda",2.153952,41.383936,"Motocicleta","Dona",43,"Passatger","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"993","2018S000815    ","Horta-Guinardó","Dimarts","Tarda",2.145947,41.43334,"Motocicleta","Home",28,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"994","2018S000815    ","Horta-Guinardó","Dimarts","Tarda",2.145947,41.43334,"Motocicleta","Home",28,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Xoc"
"997","2018S000817    ","Eixample","Dimarts","Tarda",2.161864,41.386483,"Bicicleta","Home",68,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"1012","2018S000829    ","Eixample","Dimecres","Matí",2.164116,41.388186,"Motocicleta","Home",49,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"1088","2018S000879    ","Eixample","Dijous","Nit",2.160184,41.388625,"Cotxe","Home",29,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"1130","2018S000913    ","Nou Barris","Divendres","Tarda",2.174164,41.440627,"Furgoneta","Home",79,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"1159","2018S000934    ","Sarrià-Sant Gervasi","Diumenge","Matí",2.140668,41.39218,"Motocicleta","Home",21,"Conductor","Mort (dins 24h posteriors accident)",1,"Xoc"
"1196","2018S000967    ","Sants-Montjuïc","Dilluns","Matí",2.142413,41.382401,"Furgoneta","Home",75,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"1261","2018S001015    ","Sant Martí","Dimarts","Tarda",2.190519,41.405785,"Motocicleta","Home",30,"Conductor","Mort (dins 24h posteriors accident)",1,"Atropellament"
"1262","2018S001015    ","Sant Martí","Dimarts","Tarda",2.190519,41.405785,"Motocicleta","Dona",52,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"1263","2018S001015    ","Sant Martí","Dimarts","Tarda",2.190519,41.405785,"Motocicleta","Dona",59,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"1282","2018S001029    ","Sant Martí","Dimecres","Tarda",2.185041,41.405735,"Motocicleta","Home",43,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Xoc"
"1283","2018S001029    ","Sant Martí","Dimecres","Tarda",2.185041,41.405735,"Motocicleta","Home",43,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Abast"
"1292","2018S001038    ","Eixample","Dimecres","Tarda",2.154666,41.378121,"Motocicleta","Home",30,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Caiguda interior vehicle"
"1293","2018S001038    ","Eixample","Dimecres","Tarda",2.154666,41.378121,"Motocicleta","Home",30,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Caiguda (dues rodes)"
"1297","2018S001041    ","Eixample","Dimecres","Nit",2.175428,41.400076,"Motocicleta","Home",46,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"1366","2018S001101    ","Nou Barris","Divendres","Tarda",2.178401,41.44582,"Cotxe","Dona",68,"Vianant","Mort (dins 24h posteriors accident)",1,"Atropellament"
"1369","2018S001103    ","Les Corts","Divendres","Tarda",2.104754,41.38224,"Motocicleta","Home",51,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"1397","2018S001124    ","Les Corts","Dissabte","Matí",2.132608,41.389624,"Motocicleta","Home",24,"Passatger","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"1410","2018S001131    ","Eixample","Dissabte","Tarda",2.159597,41.38819,"Cotxe","Dona",69,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"1439","2018S001153    ","Eixample","Diumenge","Nit",2.170918,41.396687,"Motocicleta","Dona",29,"Passatger","Ferit greu: hospitalització superior a 24h",1,"Abast"
"1585","2018S001276    ","Gràcia","Divendres","Matí",2.150608,41.405822,"Motocicleta","Home",64,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"1611","2018S001296    ","Gràcia","Divendres","Tarda",2.168662,41.405222,"Motocicleta","Dona",65,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Caiguda (dues rodes)"
"1612","2018S001296    ","Gràcia","Divendres","Tarda",2.168662,41.405222,"Motocicleta","Dona",65,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Abast"
"1746","2018S001409    ","Sant Andreu","Dimecres","Tarda",2.194601,41.431096,"Motocicleta","Home",44,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Caiguda interior vehicle"
"1754","2018S001416    ","Sant Andreu","Dimecres","Tarda",2.183461,41.430191,"Motocicleta","Dona",18,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"1842","2018S001498    ","Nou Barris","Dissabte","Matí",2.17957,41.44709,"Furgoneta","Home",53,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"1863","2018S001517    ","Eixample","Diumenge","Nit",2.14943,41.39076,"Motocicleta","Home",28,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"1951","2018S001576    ","Eixample","Dimecres","Tarda",2.157334,41.384783,"Motocicleta","Dona",72,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"2092","2018S001694    ","Eixample","Divendres","Tarda",2.147548,41.386078,"Furgoneta","Dona",50,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"2132","2018S001725    ","Sants-Montjuïc","Dissabte","Matí",2.167391,41.370036,"Motocicleta","Dona",50,"Passatger","Ferit greu: hospitalització superior a 24h",1,"Caiguda (dues rodes)"
"2163","2018S001749    ","Sarrià-Sant Gervasi","Dissabte","Tarda",2.132853,41.397779,"Autobús","Dona",78,"Passatger","Ferit greu: hospitalització superior a 24h",1,"Caiguda interior vehicle"
"2266","2018S001818    ","Nou Barris","Dimarts","Matí",2.174534,41.443839,"Motocicleta","Dona",60,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"2268","2018S001820    ","Ciutat Vella","Dimarts","Matí",2.178021,41.376113,"Autobús","Home",40,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"2292","2018S001839    ","Sants-Montjuïc","Dimarts","Tarda",2.154301,41.37261,"Motocicleta","Home",48,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"2308","2018S001852    ","Sant Martí","Dimecres","Matí",2.194697,41.41453,"Motocicleta","Dona",46,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Caiguda (dues rodes)"
"2458","2018S001985    ","Ciutat Vella","Diumenge","Tarda",2.181685,41.381741,"Motocicleta","Home",36,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió frontal"
"2491","2018S002014    ","Sants-Montjuïc","Dilluns","Tarda",2.14705,41.377118,"Motocicleta","Home",38,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"2561","2018S002066    ","Les Corts","Dimecres","Tarda",2.118621,41.37638,"Cotxe","Home",25,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"2617","2018S002114    ","Sants-Montjuïc","Dimarts","Tarda",2.133325,41.379118,"Furgoneta","Dona",70,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"2700","2018S002184    ","Sants-Montjuïc","Diumenge","Tarda",2.135343,41.36511,"Motocicleta","Home",17,"Passatger","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"2762","2018S002232    ","Sarrià-Sant Gervasi","Dimarts","Matí",2.123326,41.390889,"Motocicleta","Dona",59,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Caiguda (dues rodes)"
"2821","2018S002284    ","Eixample","Dijous","Matí",2.178886,41.406072,"Motocicleta","Dona",45,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"2872","2018S002326    ","Sarrià-Sant Gervasi","Divendres","Tarda",2.150388,41.399425,"Furgoneta","Home",58,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Altres"
"2873","2018S002326    ","Sarrià-Sant Gervasi","Divendres","Tarda",2.150388,41.399425,"Furgoneta","Home",58,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"2877","2018S002327    ","Eixample","Divendres","Tarda",2.180009,41.403541,"Motocicleta","Dona",45,"Passatger","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"2999","2018S002413    ","Eixample","Dimarts","Matí",2.174358,41.409499,"Motocicleta","Dona",53,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"3000","2018S002413    ","Eixample","Dimarts","Matí",2.174358,41.409499,"Motocicleta","Dona",53,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Xoc"
"3032","2018S002439    ","Nou Barris","Dimecres","Tarda",2.170409,41.443195,"Cotxe","Home",34,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"3033","2018S002439    ","Nou Barris","Dimecres","Tarda",2.170409,41.443195,"Cotxe","Home",34,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Abast"
"3042","2018S002446    ","Eixample","Dimecres","Tarda",2.163105,41.385547,"Motocicleta","Home",55,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"3144","2018S002510    ","Sarrià-Sant Gervasi","Dimarts","Nit",2.145013,41.396267,"Motocicleta","Home",46,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"3157","2018S002519    ","Horta-Guinardó","Dimarts","Matí",2.160674,41.415369,"Cotxe","Home",76,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"3158","2018S002519    ","Horta-Guinardó","Dimarts","Matí",2.160674,41.415369,"Cotxe","Home",76,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Xoc"
"3164","2018S002524    ","Eixample","Dimarts","Tarda",2.153947,41.385623,"Motocicleta","Home",37,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"3231","2018S002571    ","Eixample","Dijous","Matí",2.165353,41.387244,"Motocicleta","Home",78,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"3267","2018S002601    ","Sants-Montjuïc","Dijous","Tarda",2.139061,41.383205,"Autobús","Home",74,"Passatger","Ferit greu: hospitalització superior a 24h",1,"Caiguda interior vehicle"
"3372","2018S002686    ","Eixample","Dilluns","Matí",2.14943,41.39076,"Motocicleta","Home",42,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"3457","2018S002759    ","Sarrià-Sant Gervasi","Dimecres","Matí",2.134193,41.40291,"Motocicleta","Dona",32,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió frontal"
"3490","2018S002786    ","Les Corts","Dijous","Matí",2.138895,41.389044,"Motocicleta","Dona",55,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"3502","2018S002796    ","Eixample","Dijous","Tarda",2.143749,41.384787,"Motocicleta","Dona",56,"Passatger","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"3552","2018S002833    ","Les Corts","Divendres","Tarda",2.123139,41.388801,"Motocicleta","Home",40,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Caiguda interior vehicle"
"3553","2018S002833    ","Les Corts","Divendres","Tarda",2.123139,41.388801,"Motocicleta","Home",40,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Caiguda (dues rodes)"
"3683","2018S002947    ","Sarrià-Sant Gervasi","Dimarts","Nit",2.144678,41.40567,"Bicicleta","Dona",31,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Abast"
"3733","2018S002983    ","Ciutat Vella","Dimecres","Tarda",2.182716,41.386024,"Cotxe","Home",45,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"3817","2018S003046    ","Ciutat Vella","Divendres","Tarda",2.20493,41.444642,"Motocicleta","Home",46,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Caiguda (dues rodes)"
"3818","2018S003046    ","Ciutat Vella","Divendres","Tarda",2.20493,41.444642,"Motocicleta","Home",46,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Xoc"
"3840","2018S003062    ","Sant Andreu","Divendres","Tarda",2.190972,41.439864,"Motocicleta","Dona",27,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió frontal"
"3841","2018S003062    ","Sant Andreu","Divendres","Tarda",2.190972,41.439864,"Motocicleta","Home",28,"Passatger","Ferit greu: hospitalització superior a 24h",1,"Col.lisió frontal"
"3909","2018S003110    ","Eixample","Diumenge","Nit",2.153928,41.382222,"Motocicleta","Home",26,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"3911","2018S003112    ","Sants-Montjuïc","Dilluns","Nit",2.128826,41.342475,"Furgoneta","Home",58,"Conductor","Mort (dins 24h posteriors accident)",1,"Abast"
"3912","2018S003112    ","Sants-Montjuïc","Dilluns","Nit",2.128826,41.342475,"Furgoneta","Home",58,"Conductor","Mort (dins 24h posteriors accident)",1,"Altres"
"3913","2018S003112    ","Sants-Montjuïc","Dilluns","Nit",2.128826,41.342475,"Furgoneta","Home",58,"Conductor","Mort (dins 24h posteriors accident)",1,"Xoc"
"3914","2018S003112    ","Sants-Montjuïc","Dilluns","Nit",2.128826,41.342475,"Cotxe","Home",42,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Abast"
"3915","2018S003112    ","Sants-Montjuïc","Dilluns","Nit",2.128826,41.342475,"Cotxe","Home",42,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Altres"
"3916","2018S003112    ","Sants-Montjuïc","Dilluns","Nit",2.128826,41.342475,"Cotxe","Home",42,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Xoc"
"3917","2018S003113    ","Sants-Montjuïc","Dilluns","Nit",2.122302,41.34022,"Cotxe","Home",64,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Abast"
"3997","2018S003181    ","Horta-Guinardó","Dimecres","Nit",2.166417,41.413848,"Motocicleta","Home",26,"Conductor","Mort (dins 24h posteriors accident)",1,"Xoc"
"3998","2018S003181    ","Horta-Guinardó","Dimecres","Nit",2.166417,41.413848,"Motocicleta","Home",26,"Conductor","Mort (dins 24h posteriors accident)",1,"Caiguda (dues rodes)"
"4203","2018S003345    ","Horta-Guinardó","Dilluns","Tarda",2.153781,41.423028,"Motocicleta","Dona",59,"Passatger","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"4449","2018S003546    ","Eixample","Dilluns","Matí",2.17556,41.405277,"Cotxe","Dona",35,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Abast"
"4510","2018S003573    ","Sant Andreu","Dimarts","Tarda",2.179784,41.421665,"Motocicleta","Home",50,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"4529","2018S003587    ","Eixample","Dimarts","Tarda",2.175427,41.398385,"Motocicleta","Home",24,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"4570","2018S003618    ","Horta-Guinardó","Dijous","Nit",2.1403,41.432476,"Motocicleta","Dona",58,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"4605","2018S003642    ","Les Corts","Dijous","Tarda",2.114064,41.376368,"Cotxe","Home",2,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"4606","2018S003642    ","Les Corts","Dijous","Tarda",2.114064,41.376368,"Cotxe","Dona",54,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"4648","2018S003678    ","Eixample","Divendres","Tarda",2.169508,41.390021,"Cotxe","Home",48,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"4664","2018S003687    ","Sant Martí","Divendres","Tarda",2.193796,41.406675,"Motocicleta","Home",24,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"4665","2018S003687    ","Sant Martí","Divendres","Tarda",2.193796,41.406675,"Motocicleta","Home",24,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió frontal"
"4666","2018S003687    ","Sant Martí","Divendres","Tarda",2.193796,41.406675,"Motocicleta","Home",24,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Xoc"
"4668","2018S003689    ","Sant Martí","Divendres","Tarda",2.205282,41.401369,"Motocicleta","Dona",36,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Caiguda interior vehicle"
"4671","2018S003692    ","Les Corts","Divendres","Nit",2.1324,41.380835,"Motocicleta","Home",28,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"4753","2018S003755    ","Sarrià-Sant Gervasi","Dilluns","Tarda",2.133737,41.398645,"Motocicleta","Home",20,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"4796","2018S003793    ","Eixample","Dimarts","Tarda",2.180009,41.403541,"Motocicleta","Home",30,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"4817","2018S003812    ","Sants-Montjuïc","Dimecres","Matí",2.137862,41.332074,"Bicicleta","Home",43,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Abast"
"4903","2018S003886    ","Ciutat Vella","Divendres","Tarda",2.181974,41.381016,"Motocicleta","Dona",41,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"4962","2018S003942    ","Sants-Montjuïc","Dilluns","Nit",2.134635,41.37584,"Motocicleta","Home",21,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"4967","2018S003946    ","Sant Martí","Dimarts","Matí",2.203085,41.408706,"Motocicleta","Dona",45,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"5095","2018S004042    ","Sant Andreu","Divendres","Matí",2.202803,41.44314,"Motocicleta","Home",28,"Conductor","Mort (dins 24h posteriors accident)",1,"Col.lisió fronto-lateral"
"5144","2018S004079    ","Horta-Guinardó","Dissabte","Matí",2.171862,41.418133,"Autobús","Home",87,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"5180","2018S004103    ","Eixample","Diumenge","Tarda",2.161147,41.39275,"Motocicleta","Dona",28,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"5203","2018S004130    ","Ciutat Vella","Dilluns","Tarda",2.176959,41.385301,"Motocicleta","Dona",56,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"5302","2018S004215    ","Ciutat Vella","Dijous","Tarda",2.20493,41.444642,"Motocicleta","Dona",27,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"5376","2018S004276    ","Gràcia","Dissabte","Matí",2.164942,41.40846,"Cotxe","Dona",77,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"5538","2018S004401    ","Eixample","Dijous","Tarda",2.150539,41.384784,"Motocicleta","Home",44,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"5729","2018S004562    ","Eixample","Dijous","Tarda",2.163105,41.385547,"Motocicleta","Home",60,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"5730","2018S004563    ","Gràcia","Dijous","Tarda",2.162524,41.402332,"Motocicleta","Home",58,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"5739","2018S004571    ","Nou Barris","Dijous","Tarda",2.164987,41.427804,"Motocicleta","Home",14,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"5740","2018S004572    ","Sarrià-Sant Gervasi","Dijous","Tarda",2.151307,41.394459,"Motocicleta","Dona",45,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"5781","2018S004603    ","Eixample","Dissabte","Nit",2.157337,41.386477,"Cotxe","Dona",34,"Vianant","Mort (dins 24h posteriors accident)",1,"Atropellament"
"5782","2018S004603    ","Eixample","Dissabte","Nit",2.157337,41.386477,"Cotxe","Dona",34,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"5890","2018S004678    ","Sant Martí","Dimarts","Matí",2.209629,41.40958,"Motocicleta","Dona",47,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"5976","2018S004739    ","Nou Barris","Dimecres","Matí",2.179592,41.446074,"Furgoneta","Home",49,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"6003","2018S004760    ","Les Corts","Dijous","Matí",2.104754,41.38224,"Motocicleta","Home",62,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"6136","2018S004863    ","Les Corts","Dilluns","Matí",2.123498,41.385502,"Motocicleta","Home",61,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"6153","2018S004874    ","Sant Martí","Dilluns","Tarda",2.1881,41.397302,"Motocicleta","Dona",36,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"6164","2018S004883    ","Ciutat Vella","Dilluns","Matí",2.19014,41.378566,"Cotxe","Dona",66,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"6165","2018S004884    ","Horta-Guinardó","Dilluns","Tarda",2.163883,41.435398,"Cotxe","Dona",80,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"6187","2018S004900    ","Sants-Montjuïc","Dimarts","Matí",2.142501,41.353814,"Motocicleta","Home",47,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió lateral"
"6197","2018S004907    ","Ciutat Vella","Dimarts","Tarda",2.183262,41.38258,"Motocicleta","Home",29,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"6366","2018S005046    ","Sant Andreu","Dissabte","Tarda",2.189019,41.41711,"Motocicleta","Home",32,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"6367","2018S005047    ","Sant Martí","Dissabte","Tarda",2.19548,41.408838,"Bicicleta","Home",60,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"6439","2018S005102    ","Eixample","Dilluns","Tarda",2.174308,41.397552,"Motocicleta","Home",36,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"6462","2018S005123    ","Sants-Montjuïc","Dimarts","Tarda",2.120804,41.329149,"Altres","Home",58,"Vianant","Ferit greu: hospitalització superior a 24h",1,"Atropellament"
"6533","2018S005182    ","Eixample","Dijous","Matí",2.169592,41.399715,"Motocicleta","Home",57,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Caiguda (dues rodes)"
"6534","2018S005182    ","Eixample","Dijous","Matí",2.169592,41.399715,"Motocicleta","Home",57,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Xoc"
"6570","2018S005208    ","Sant Martí","Divendres","Matí",2.188682,41.403765,"Bicicleta","Dona",59,"Conductor","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
"6650","2018S005268    ","Eixample","Diumenge","Tarda",2.153943,41.39247,"Motocicleta","Home",14,"Passatger","Ferit greu: hospitalització superior a 24h",1,"Col.lisió fronto-lateral"
